symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
SPY,2024-01-19,230.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,20,9,224.0,50,20,9,229.0,50
SPY,2022-02-02,310.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,300,1,143.57,50,300,1,144.64,50
SPY,2022-02-02,310.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,300,1,143.57,50,300,1,144.64,50
SPY,2022-02-16,498.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,478,69,0.01,50,959,42,0.02,50
SPY,2022-02-16,498.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,478,69,0.01,50,959,42,0.02,50
SPY,2022-02-23,450.0,CALL,2022-02-02T17:24:02.075,2022-02-02T15:26:12.046,10.99,12.53,10.59,12.53,53,21,28,65,10.28,50,28,65,10.48,50
SPY,2022-02-23,450.0,CALL,2022-02-02T17:39:16.985,2022-02-02T15:26:12.046,10.99,12.53,10.59,12.53,53,21,28,65,10.28,50,28,65,10.48,50
SPY,2022-09-30,504.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,57.1,50,5,69,58.65,50
SPY,2022-09-30,504.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,57.1,50,5,69,58.65,50
SPY,2022-02-11,429.0,CALL,2022-02-02T17:24:02.075,2022-02-02T15:52:02.601,27.25,28.78,25.46,28.78,37,7,50,1,25.8,50,50,1,26.05,50
SPY,2022-02-11,429.0,CALL,2022-02-02T17:39:16.985,2022-02-02T15:52:02.601,27.25,28.78,25.46,28.78,37,7,50,1,25.8,50,50,1,26.05,50
SPY,2022-02-11,530.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,50,1,75.49,50,50,1,76.26,50
SPY,2022-02-11,530.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,50,1,75.49,50,50,1,76.26,50
SPY,2022-02-18,458.0,CALL,2022-02-02T17:24:02.075,2022-02-02T16:13:17.518,5.55,6.6,4.71,4.89,8154,767,50,69,4.93,50,90,69,4.98,50
SPY,2022-02-18,458.0,CALL,2022-02-02T17:39:16.985,2022-02-02T16:13:17.518,5.55,6.6,4.71,4.89,8154,767,50,69,4.93,50,90,69,4.98,50
SPY,2022-09-30,430.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,44.38,50,5,69,46.17,50
SPY,2022-09-30,430.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,44.38,50,5,69,46.17,50
SPY,2022-04-14,300.0,PUT,2022-02-02T17:24:02.075,2022-02-02T16:09:15.04,0.67,0.7,0.59,0.66,127,19,152,69,0.7,50,236,69,0.71,50
SPY,2022-04-14,300.0,PUT,2022-02-02T17:39:16.985,2022-02-02T16:09:15.04,0.67,0.7,0.59,0.66,127,19,152,69,0.7,50,236,69,0.71,50
SPY,2022-06-30,486.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,39.15,50,5,69,40.75,50
SPY,2022-06-30,486.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,39.15,50,5,69,40.75,50
SPY,2022-03-18,408.0,PUT,2022-02-02T17:24:02.075,2022-02-02T16:13:32.751,2.93,3.25,2.58,3.15,211,26,50,69,3.13,50,85,7,3.15,50
SPY,2022-03-18,408.0,PUT,2022-02-02T17:39:16.985,2022-02-02T16:13:32.751,2.93,3.25,2.58,3.15,211,26,50,69,3.13,50,85,7,3.15,50
SPY,2022-02-07,489.0,PUT,2022-02-02T17:24:02.075,2022-02-02T09:58:04.025,34.67,34.67,34.67,34.67,7,1,161,1,34.79,50,179,1,35.03,50
